date,stock_price,strike,pred_vol,call+put_premium,final_stock_price,pnl_straddle,total_pnl,capital,expected_pnl_mc,worst_pnl_mc,prob_of_loss_mc
2023-06-26 04:00:00+00:00,2032.31,2032,0.172315638950392,60.42764650803065,2123.54,-31.112353491969316,-819.4486731341449,99180.55132686585,20.608428743706003,-124.37028805609361,0.232
2023-08-21 04:00:00+00:00,1866.13,1866,0.1573753787720267,52.656969519822155,1899.27,19.386969519822173,1462.9289131958737,100643.48024006173,18.433078042942224,-110.62092716244285,0.211
2023-08-28 04:00:00+00:00,1899.27,1899,0.1718940207852332,49.692226679068426,1951.49,-2.797773320931583,-143.23199937600336,100500.24824068573,12.724446797211812,-120.21024907263063,0.29
2024-11-11 05:00:00+00:00,59.27,59,0.2481853143303261,2.938754609445578,58.81,2.74875460944558,4354.9195034840695,104855.1677441698,1.2259227871557012,-4.767714230441289,0.174
2024-11-25 05:00:00+00:00,62.0,62,0.3075082531984842,3.026774237862007,60.94,1.9667742378620048,2780.623910936364,107635.79165510616,0.8359895724076045,-6.209447978593808,0.285
2024-12-02 05:00:00+00:00,60.54,61,0.278159208998985,2.881013804809349,64.58,-0.6989861951906491,-2611.4394991701474,105024.35215593602,1.0160284842061222,-5.234281579298738,0.222
2024-12-16 05:00:00+00:00,64.8,65,0.2984569678497862,3.1078722227450477,61.58,-0.312127777254954,-346.801064075948,104677.55109186008,0.8917970267089602,-6.2793113927238515,0.273
2024-12-30 05:00:00+00:00,60.09,60,0.278159208998985,3.0189270088006808,57.99,1.0089270088006828,3158.9274163683176,107836.47850822839,1.1291082748903152,-5.430501080567858,0.202
2025-01-06 05:00:00+00:00,58.8,59,0.2940877813736716,2.8574460220410316,56.44,0.2974460220410293,1122.5244962028858,108959.00300443127,0.9719614354823377,-3.3372249315930347,0.227
2025-01-13 05:00:00+00:00,56.26,56,0.278159208998985,3.0156976645525155,56.2,2.8156976645525127,10173.2880552889,119132.29105972017,1.1959737658137526,-5.687189170902403,0.18
2025-02-03 05:00:00+00:00,58.36,58,0.2698568943955647,2.908084010868752,57.8,2.708084010868749,7942.031313378228,127074.3223730984,1.1096905171417348,-4.764686740542043,0.214
2025-02-10 05:00:00+00:00,57.8,58,0.278159208998985,2.740835828223382,54.49,-0.769164171776616,-1088.050727775104,125986.2716453233,0.8990195644865588,-5.142895381851162,0.243
2025-02-24 05:00:00+00:00,51.21,51,0.2824925559031182,2.5249500831129055,54.33,-0.8050499168870928,-1210.4527964699973,124775.8188488533,0.8274961656523123,-3.3407102407182094,0.245
2025-03-03 05:00:00+00:00,54.33,54,0.2794111316320116,2.9632555023909504,49.83,-1.2067444976090513,-817.5694151538355,123958.24943369947,1.2135568558614789,-3.7916304516894996,0.179
